ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
幡山古墳群	36.54296343	140.5439258	376	1910986	1925596	FunaSekkan	FunaSekkan
大念寺古墳	35.363074	132.764564	355	1925596	1947510	IeSekkan	IeSekkan
浦尻6号墳	37.51738199	141.0250503	300	1925596	1947510	FunaSekkan	FunaSekkan
（洞石棺）	35.03762559	138.9562565	300	99999999	99999999	IeSekkan	IeSekkan
（朝臣雛山）	34.79437134	134.5645681	296	99999999	99999999	FunaSekkanRed	FunaSekkan
大谷古墳	34.262105	135.176144	295	1896376	1910986	IeSekkanRed	IeSekkan
小幡古墳	35.20643348	136.9808819	295	1925596	1947510	IeSekkan	IeSekkan
小幡古墳	35.20643348	136.9808819	295	1925596	1947510	IeSekkan	IeSekkan
（石舟天神社）	34.31134715	133.967591	292	99999999	99999999	FunaSekkan	FunaSekkan
烏土塚古墳	34.617789	135.702406	285	1925596	1947510	IeSekkanYellowGreen	IeSekkan
石人山古墳	33.237338	130.517514	281	1874462	1881767	IeSekkanRed	IeSekkan
薄井原古墳	35.506535	133.094125	280	1910986	1925596	IeSekkan	IeSekkan
鳥居古墳	34.72486733	136.5054419	277	1925596	1947510	IeSekkan	IeSekkan
(川合小学校)	34.64917927	136.4030708	276	99999999	99999999	IeSekkan	IeSekkan
四十八塚3号墳	32.63640104	130.7975361	275	99999999	99999999	IeSekkanRed	IeSekkan
見瀬丸山古墳	34.476303	135.798086	275	1925596	1947510	IeSekkanBrown	IeSekkan
天磐舟	34.77850192	134.7935782	274	99999999	99999999	IeSekkanBrown	IeSekkan
石櫃山古墳	33.287065	130.543928	273	1874462	1881767	IeSekkanRed	IeSekkan
二軒小屋古墳	32.79382365	130.668045	272	99999999	99999999	IeSekkan	IeSekkan
（不退寺）	34.6925339	135.8187835	271	99999999	99999999	FunaSekkan	FunaSekkan
市尾墓山古墳	34.444042	135.774531	271	1910986	1925596	IeSekkanYellowGreen	IeSekkan
吉野古墳	32.56722213	131.6171527	270	1859852	1874462	FunaSekkanRed	FunaSekkan
羽崎中洞1号横穴墓	35.41578818	137.0824701	270	1925596	1947510	IeSekkan	IeSekkan
田中2号墳	34.46849349	135.5876088	268	99999999	99999999	IeSekkanYellowGreen	IeSekkan
ウル神古墳	34.44327111	135.7443855	268	99999999	99999999	IeSekkanYellowGreen	IeSekkan
伊達１号	36.49414178	140.5340646	265	1925596	1947510	FunaSekkan	FunaSekkan
横山古墳	32.911259	130.712647	264	1910986	1925596	IeSekkanRed	IeSekkan
新田原45号墳	32.084598	131.444689	264	1910986	1925596	IeSekkanRed	IeSekkan
室ノ山二号墳	32.57198706	130.6825851	262	1859852	1881767	FunaSekkanRed	FunaSekkan
二方古墳	35.63675055	134.4838803	260	1925596	1947510	IeSekkan	IeSekkan
甲山古墳	35.06737776	136.0356415	260	1910986	1925596	IeSekkanRed	IeSekkan
（小野）	32.55291737	131.6437548	259	1881767	1896376	FunaSekkanRed	FunaSekkan
畑中古墳群	36.49624527	140.5167725	259	1925596	1947510	FunaSekkan	FunaSekkan
万日山古墳	32.79018411	130.685122	258	1925596	1947510	IeSekkanRed	IeSekkan
願興寺3号墳	35.73434441	135.111607	257	99999999	99999999	FunaSekkan	FunaSekkan
（磯長小学校裏山）	34.51853817	135.6349075	255	1937649	1980382	IeSekkanBrown	IeSekkan
（鮎壺の石棺）	35.15414235	138.8870096	255	99999999	99999999	IeSekkanBlue	IeSekkan
国越古墳	32.645413	130.644972	254	1910986	1925596	IeSekkanRed	IeSekkan
新溜古墳	36.02866323	136.2893173	253	1910986	1925596	FunaSekkanLightBlue	FunaSekkan
江崎古墳	34.668447	133.777117	251	1925596	1947510	IeSekkan	IeSekkan
下山古墳	33.132827	131.792467	250	1859852	1874462	IeSekkanRed	IeSekkan
仏陀寺古墳	34.51493954	135.6548282	250	1951893	1966138	IeSekkanYellowGreen	IeSekkan
（叡福寺）	34.51853817	135.6349075	249	99999999	99999999	IeSekkan	IeSekkan
室ノ山一号墳	32.57198706	130.6825851	248	1859852	1881767	FunaSekkanRed	FunaSekkan
江田船山古墳	32.971587	130.599675	248	1896376	1910986	IeSekkanRed	IeSekkan
城山3号墳	35.18880822	136.984406	247	1925596	1947510	IeSekkan	IeSekkan
(伝伊勢国)	34.68383779	136.4547795	246	99999999	99999999	IeSekkan	IeSekkan
宮ノ後古墳	32.96536054	130.5917603	245	1881767	1910986	FunaSekkanRed	FunaSekkan
願興寺3号墳	35.73434441	135.111607	245	99999999	99999999	FunaSekkan	FunaSekkan
四十八塚2号墳	32.63640104	130.7975361	245	99999999	99999999	IeSekkanRed	IeSekkan
御年代古墳	34.3987583	132.9666996	245	99999999	99999999	IeSekkan	IeSekkan
ツボリ山古墳	34.62860793	135.6941077	245	99999999	99999999	IeSekkanYellowGreen	IeSekkan
平原塚古墳	33.0137652	130.7563985	244	1874462	1896376	FunaSekkanRed	FunaSekkan
（野田）	32.57550119	131.6367448	244	1881767	1910986	FunaSekkanRed	FunaSekkan
千金甲２号墳	32.78341612	130.614383	244	99999999	99999999	IeSekkan	IeSekkan
浅井18号墳(人麿塚)	35.35435781	136.8288016	243	1925596	1947510	IeSekkan	IeSekkan
八角目３号墳	33.04407111	130.5121567	242	99999999	99999999	IeSekkan	IeSekkan
見瀬丸山古墳	34.476303	135.798086	242	1925596	1947510	IeSekkanBrown	IeSekkan
下土狩西1号墳	35.12760696	138.8989725	242	1937649	1958833	IeSekkanBlue	IeSekkan
寒原2号墳	32.96213536	130.684638	241	99999999	99999999	IeSekkanRed	IeSekkan
こうもり塚古墳	34.667233	133.785869	240	1925596	1947510	IeSekkan	IeSekkan
飛鳥千塚　三ツ塚3号墳	34.53937878	135.6331659	240	1937649	1951893	IeSekkan	IeSekkan
(木堂公民館)	34.59300966	135.8437289	240	99999999	99999999	IeSekkanBrown	IeSekkan
小幡茶臼山古墳	35.209057	136.985428	240	1925596	1947510	IeSekkan	IeSekkan
原分古墳	35.12760696	138.8989725	240	1937649	1958833	IeSekkanBlue	IeSekkan
北江間（大師山）1号横穴	35.05590526	138.9215001	240	1951893	1966138	IeSekkan	IeSekkan
小山谷古墳	36.05403467	136.1993861	239	1852547	1859852	FunaSekkanLightBlue	FunaSekkan
御年代古墳	34.3987583	132.9666996	236	99999999	99999999	IeSekkan	IeSekkan
松坂古墳	32.966503	130.599253	235	1852547	1874462	FunaSekkanRed	FunaSekkan
四十八塚4号墳	32.63640104	130.7975361	235	99999999	99999999	IeSekkanRed	IeSekkan
ツボリ山古墳	34.62860793	135.6941077	235	99999999	99999999	IeSekkanYellowGreen	IeSekkan
北塚古墳	34.57730086	133.3141041	234	99999999	99999999	IeSekkan	IeSekkan
安部山4号墳	34.53688756	135.7307451	234	99999999	99999999	IeSekkanYellowGreen	IeSekkan
条池南古墳	34.44613047	135.7411688	234	1910986	1925596	IeSekkanYellowGreen	IeSekkan
今井野古墳	32.57531923	131.6235837	232	1896376	1910986	FunaSekkanRed	FunaSekkan
千金甲３号墳	32.78341612	130.614383	232	99999999	99999999	IeSekkan	IeSekkan
水泥南古墳	34.41194393	135.7426826	232	1937649	1980382	IeSekkanBrown	IeSekkan
（小野寺田）	32.55291737	131.6437548	230	1881767	1896376	FunaSekkanRed	FunaSekkan
チブサン古墳	33.030053	130.669606	230	1910986	1925596	IeSekkanRed	IeSekkan
宮内Ⅱ区1号横穴墓	35.41485389	133.2568466	230	1925596	1947510	IeSekkanRedPurple	IeSekkan
"三崎１号墳
（殿山岩舟古墳）"	35.37526998	133.3521274	230	1910986	1925596	IeSekkan	IeSekkan
梨本東2号墳	34.63044884	135.7097443	230	1925596	1947510	IeSekkanYellowGreen	IeSekkan
権現堂古墳	34.42429192	135.7553793	230	1910986	1925596	IeSekkanYellowGreen	IeSekkan
新宮山古墳	34.4340859	135.7513381	230	99999999	99999999	IeSekkanBrown	IeSekkan
物集女車塚古墳	34.958325	135.699053	230	1910986	1925596	IeSekkanYellowGreen	IeSekkan
鴨稲荷山古墳	35.317254	136.014103	230	1910986	1925596	IeSekkanYellowGreen	IeSekkan
散田金谷古墳	36.85421465	136.8122768	230	1925596	1947510	IeSekkan	IeSekkan
不孝寺塚古墳	35.41578818	137.0824701	230	1925596	1947510	IeSekkan	IeSekkan
大北2号横穴	35.05590526	138.9215001	230	1966138	1980382	IeSekkan	IeSekkan
馬塚古墳	34.53970781	135.8435329	229	1910986	1925596	IeSekkan	IeSekkan
宝石山古墳	36.05403467	136.1993861	228	1896376	1910986	FunaSekkanLightBlue	FunaSekkan
二見谷1号墳	35.58732352	134.7983183	228	1925596	1947510	IeSekkan	IeSekkan
下土狩新屋後1号墳	35.12760696	138.8989725	228	99999999	99999999	IeSekkanBlue	IeSekkan
平石4号墳	35.02163168	138.9524435	228	1951893	1966138	IeSekkanBlue	IeSekkan
八角目２号墳	33.04407111	130.5121567	227	99999999	99999999	IeSekkan	IeSekkan
浅井20号墳(愛宕塚)	35.35169	136.831675	227	99999999	99999999	IeSekkan	IeSekkan
（深川）	32.96876643	130.8026114	226	1874462	1881767	FunaSekkanRed	FunaSekkan
姫路城桜門	34.83954146	134.693902	226	99999999	99999999	IeSekkanBrown	IeSekkan
高塚古墳	32.57887123	130.7007705	225	99999999	99999999	IeSekkanRed	IeSekkan
二子塚古墳	34.553592	133.312278	225	1925596	1947510	IeSekkanBrown	IeSekkan
ふな塚古墳	35.383268	136.900633	225	1925596	1947510	IeSekkan	IeSekkan
山の神道古墳	35.13603035	138.8952818	225	99999999	99999999	IeSekkanBlue	IeSekkan
宇洞ヶ谷横穴	34.76751403	138.0016213	225	1925596	1947510	IeSekkan	IeSekkan
御崎山古墳	35.424518	133.093386	224	1925596	1947510	IeSekkan	IeSekkan
谷脇古墳	34.46741592	135.9499667	224	99999999	99999999	IeSekkan	IeSekkan
（浅野小学校）	34.25572659	134.0422952	222	99999999	99999999	FunaSekkan	FunaSekkan
妙蓮寺山古墳	35.336913	132.737644	222	1925596	1947510	IeSekkan	IeSekkan
（相頓寺）	35.4485315	136.190289	222	1925596	1947510	IeSekkan	IeSekkan
郷戸古墳	35.413873	136.911428	221	1859852	1896376	IeSekkan	IeSekkan
前田古墳	32.96536054	130.5917603	220	1896376	1910986	FunaSekkanRed	FunaSekkan
真福寺古墳	32.96536054	130.5917603	220	1874462	1896376	FunaSekkanRed	FunaSekkan
西階	32.56923395	131.6386015	220	1896376	1910986	FunaSekkanRed	FunaSekkan
岩屋寺跡裏古墳	35.41409992	133.0115061	220	1896376	1925596	FunaSekkanYellow	FunaSekkan
春日山古墳	36.08925621	136.3003575	220	1925596	1947510	FunaSekkan	FunaSekkan
城山三の塚古墳	32.78046018	130.6751102	220	99999999	99999999	IeSekkan	IeSekkan
橋本38号墳	35.45745379	134.2266642	220	1925596	1951893	IeSekkan	IeSekkan
