ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
杜環	Du Huan	108.8583	34.3083	108.8583	34.3083	1988052	1995786
杜環	Du Huan	108.8583	34.3083	72.2333	42.525	1995786	1995874
杜環	Du Huan	72.2333	42.525	72.2333	42.525	1995874	1995990
杜環	Du Huan	72.2333	42.525	71.7864	40.3864	1995990	1995996
杜環	Du Huan	71.7864	40.3864	71.7864	40.3864	1995996	1996075
杜環	Du Huan	71.7864	40.3864	66.9758	39.6547	1996075	1996087
杜環	Du Huan	66.9758	39.6547	66.9758	39.6547	1996087	1996397
杜環	Du Huan	66.9758	39.6547	44.4	32.03	1996397	1996453
杜環	Du Huan	44.4	32.03	44.4	32.03	1996453	1997142
杜環	Du Huan	44.4	32.03	39.45	15.6167	1997142	1997183
杜環	Du Huan	39.45	15.6167	39.45	15.6167	1997183	1999567
杜環	Du Huan	39.45	15.6167	113.25325	23.128994	1999567	1999740
杜環	Du Huan	113.25325	23.128994	113.25325	23.128994	1999740	1999770
