ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
慧超	Hyecho	129.263885	35.835354	129.263885	35.835354	1977095	1982572
慧超	Hyecho	129.263885	35.835354	129.263885	35.835354	1982572	1982573
慧超	Hyecho	129.263885	35.835354	129.263885	35.835354	1982573	1984764
慧超	Hyecho	129.263885	35.835354	129.263885	35.835354	1984764	1984765
慧超	Hyecho	129.263885	35.835354	129.263885	35.835354	1984765	1984807
慧超	Hyecho	129.263885	35.835354	113.25325	23.128994	1984807	1984856
慧超	Hyecho	113.25325	23.128994	113.25325	23.128994	1984856	1985494
慧超	Hyecho	113.25325	23.128994	113.25325	23.128994	1985494	1985495
慧超	Hyecho	113.25325	23.128994	113.25325	23.128994	1985495	1985520
慧超	Hyecho	113.25325	23.128994	85.1	25.4	1985520	1985587
慧超	Hyecho	85.1	25.4	85.1	25.4	1985587	1985856
慧超	Hyecho	85.1	25.4	83.888	26.741	1985856	1985861
慧超	Hyecho	83.888	26.741	83.888	26.741	1985861	1986221
慧超	Hyecho	83.888	26.741	82.9739	25.3176	1986221	1986226
慧超	Hyecho	82.9739	25.3176	82.9739	25.3176	1986226	1986584
慧超	Hyecho	82.9739	25.3176	83.4	27.6667	1986584	1986591
慧超	Hyecho	83.4	27.6667	83.4	27.6667	1986591	1986656
慧超	Hyecho	83.4	27.6667	74.5	34	1986656	1986682
慧超	Hyecho	74.5	34	74.5	34	1986682	1986951
慧超	Hyecho	74.5	34	72.8399462	33.5588864	1986951	1986956
慧超	Hyecho	72.8399462	33.5588864	72.8399462	33.5588864	1986956	1986917
慧超	Hyecho	72.8399462	33.5588864	86.5667	42.0583	1986917	1986956
慧超	Hyecho	86.5667	42.0583	86.5667	42.0583	1986956	1986936
慧超	Hyecho	86.5667	42.0583	94.66188	40.142132	1986936	1986956
慧超	Hyecho	94.66188	40.142132	94.66188	40.142132	1986956	1986919
慧超	Hyecho	94.66188	40.142132	108.9397	34.3416	1986919	1986956
慧超	Hyecho	108.9397	34.3416	108.9397	34.3416	1986956	1987306
慧超	Hyecho	108.9397	34.3416	113.5603	39.0797	1987306	1987322
慧超	Hyecho	113.5603	39.0797	113.5603	39.0797	1987322	2008870
慧超	Hyecho	113.5603	39.0797	113.5603	39.0797	2008870	2008871
慧超	Hyecho	113.5603	39.0797	113.5603	39.0797	2008871	2008901
