ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
空海	Kūkai	133.7833	34.2167	133.7833	34.2167	2004363	2010326
空海	Kūkai	133.7833	34.2167	135.805	34.6844	2010326	2010332
空海	Kūkai	135.805	34.6844	135.805	34.6844	2010332	2012157
空海	Kūkai	135.805	34.6844	135.805	34.6844	2012157	2012158
空海	Kūkai	135.805	34.6844	135.805	34.6844	2012158	2015017
空海	Kūkai	135.805	34.6844	108.9333	34.2667	2015017	2015080
空海	Kūkai	108.9333	34.2667	108.9333	34.2667	2015080	2015747
空海	Kūkai	108.9333	34.2667	135.7424	34.9721	2015747	2015810
空海	Kūkai	135.7424	34.9721	135.7424	34.9721	2015810	2019460
空海	Kūkai	135.7424	34.9721	135.5864	34.2125	2019460	2019463
空海	Kūkai	135.5864	34.2125	135.5864	34.2125	2019463	2022017
空海	Kūkai	135.5864	34.2125	135.7424	34.9721	2022017	2022020
空海	Kūkai	135.7424	34.9721	135.7424	34.9721	2022020	2026543
空海	Kūkai	135.7424	34.9721	135.5864	34.2125	2026543	2026546
空海	Kūkai	135.5864	34.2125	135.5864	34.2125	2026546	2026576
